method,seed,topk,valid_mrr,valid_log,test_mrr,test_h1,test_h10,eval_total_ms,vram_mb,test_log
hybrid,1234,0.1,0.568779,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s1234_tk0.1_valid.log,0.569055,0.519304,0.66656,81535.58,941.43,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s1234_tk0.1_test.log
hybrid,1234,0.2,0.569254,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s1234_tk0.2_valid.log,0.568603,0.518985,0.666879,128205.65,2048.11,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s1234_tk0.2_test.log
ppr,42,0.01,0.542052,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s42_tk0.01_valid.log,0.542648,0.498245,0.627154,37716.35,160.37,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s42_tk0.01_test.log
ppr,42,0.05,0.563243,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s42_tk0.05_valid.log,0.56527,0.512923,0.662891,58488.82,729.77,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s42_tk0.05_test.log
ppr,42,0.1,0.564508,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s42_tk0.1_valid.log,0.564645,0.512125,0.663529,101467.34,1487.23,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s42_tk0.1_test.log
ppr,42,0.2,0.561088,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s42_tk0.2_valid.log,0.561216,0.509572,0.655871,156751.08,3163.62,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s42_tk0.2_test.log
ppr,123,0.01,0.544443,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s123_tk0.01_valid.log,0.539731,0.494097,0.626994,34246.23,160.37,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s123_tk0.01_test.log
ppr,123,0.05,0.56503,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s123_tk0.05_valid.log,0.562576,0.511327,0.662412,54410.32,729.77,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s123_tk0.05_test.log
ppr,123,0.1,0.565569,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s123_tk0.1_valid.log,0.561833,0.51037,0.661136,92172.02,1487.23,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s123_tk0.1_test.log
ppr,123,0.2,0.563597,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s123_tk0.2_valid.log,0.558287,0.507339,0.656988,158170.52,3163.62,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s123_tk0.2_test.log
ppr,1234,0.01,0.544071,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s1234_tk0.01_valid.log,0.541199,0.496171,0.62492,33528.81,160.37,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s1234_tk0.01_test.log
ppr,1234,0.05,0.565264,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s1234_tk0.05_valid.log,0.565081,0.513401,0.664965,54841.17,729.77,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s1234_tk0.05_test.log
ppr,1234,0.1,0.565331,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s1234_tk0.1_valid.log,0.564967,0.513242,0.663689,91051.48,1487.23,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s1234_tk0.1_test.log
ppr,1234,0.2,0.562281,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s1234_tk0.2_valid.log,0.560476,0.508775,0.657307,158178.58,3163.62,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s1234_tk0.2_test.log
rerank,42,0.01,0.54569,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s42_tk0.01_valid.log,0.54633,0.504308,0.626994,43664.92,160.37,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s42_tk0.01_test.log
rerank,42,0.05,0.567187,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s42_tk0.05_valid.log,0.569221,0.520421,0.668156,70406.8,729.77,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s42_tk0.05_test.log
rerank,42,0.1,0.56902,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s42_tk0.1_valid.log,0.569653,0.519145,0.669911,114811.15,1487.23,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s42_tk0.1_test.log
rerank,42,0.2,0.566278,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s42_tk0.2_valid.log,0.56664,0.514997,0.664327,172453.2,3163.62,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s42_tk0.2_test.log
rerank,123,0.01,0.546723,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s123_tk0.01_valid.log,0.543754,0.502074,0.625718,47968.92,160.37,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s123_tk0.01_test.log
rerank,123,0.05,0.568701,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s123_tk0.05_valid.log,0.565937,0.516911,0.665284,68079.52,729.77,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s123_tk0.05_test.log
rerank,123,0.1,0.568966,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s123_tk0.1_valid.log,0.566121,0.516273,0.666241,110122.93,1487.23,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s123_tk0.1_test.log
rerank,123,0.2,0.567442,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s123_tk0.2_valid.log,0.564084,0.514997,0.66321,177623.66,3163.62,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s123_tk0.2_test.log
rerank,1234,0.01,0.546344,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s1234_tk0.01_valid.log,0.543759,0.501755,0.625877,41808.84,160.37,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s1234_tk0.01_test.log
rerank,1234,0.05,0.568322,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s1234_tk0.05_valid.log,0.568217,0.519304,0.665124,67613.88,729.77,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s1234_tk0.05_test.log
rerank,1234,0.1,0.569304,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s1234_tk0.1_valid.log,0.569708,0.520102,0.667996,108161.1,1487.23,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s1234_tk0.1_test.log
rerank,1234,0.2,0.567325,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s1234_tk0.2_valid.log,0.565578,0.514837,0.665284,175007.27,3163.62,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s1234_tk0.2_test.log
