method,seed,topk,valid_mrr,valid_log,test_mrr,test_h1,test_h10,eval_total_ms,vram_mb,test_log
hybrid,1234,0.1,0.568926,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s1234_tk0.1_valid.log,0.54911,0.48758,0.657204,234802.21,1731.46,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s1234_tk0.1_test.log
hybrid,1234,0.2,0.569028,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s1234_tk0.2_valid.log,0.547861,0.485806,0.654542,361938.58,2579.75,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s1234_tk0.2_test.log
ppr,42,0.01,0.479909,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s42_tk0.01_valid.log,0.532646,0.473031,0.638219,54804.72,394.84,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s42_tk0.01_test.log
ppr,42,0.05,0.500996,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s42_tk0.05_valid.log,0.532196,0.470724,0.636267,127083.66,1714.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s42_tk0.05_test.log
ppr,42,0.1,0.498726,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s42_tk0.1_valid.log,0.531643,0.470724,0.63467,216992.11,2546.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s42_tk0.1_test.log
ppr,42,0.2,0.496763,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s42_tk0.2_valid.log,0.525944,0.464691,0.628815,370462.27,3572.94,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s42_tk0.2_test.log
ppr,123,0.01,0.491097,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s123_tk0.01_valid.log,0.537963,0.475515,0.638573,54534.24,394.84,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s123_tk0.01_test.log
ppr,123,0.05,0.502827,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s123_tk0.05_valid.log,0.538473,0.473918,0.640703,129881.67,1714.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s123_tk0.05_test.log
ppr,123,0.1,0.502024,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s123_tk0.1_valid.log,0.535946,0.472143,0.639106,216785.7,2546.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s123_tk0.1_test.log
ppr,123,0.2,0.497743,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s123_tk0.2_valid.log,0.52771,0.463449,0.632718,371241.01,3572.94,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s123_tk0.2_test.log
ppr,1234,0.01,0.480923,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s1234_tk0.01_valid.log,0.537574,0.480128,0.633073,54556.7,394.84,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s1234_tk0.01_test.log
ppr,1234,0.05,0.49966,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s1234_tk0.05_valid.log,0.540172,0.478531,0.636089,130916.39,1714.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s1234_tk0.05_test.log
ppr,1234,0.1,0.500206,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s1234_tk0.1_valid.log,0.538734,0.476934,0.635912,215728.7,2546.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s1234_tk0.1_test.log
ppr,1234,0.2,0.493188,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s1234_tk0.2_valid.log,0.535398,0.473918,0.633073,368984.52,3572.94,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/ppr_s1234_tk0.2_test.log
rerank,42,0.01,0.527979,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s42_tk0.01_valid.log,0.537747,0.47995,0.64088,116789.19,394.84,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s42_tk0.01_test.log
rerank,42,0.05,0.564744,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s42_tk0.05_valid.log,0.541983,0.47995,0.655607,221502.05,1714.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s42_tk0.05_test.log
rerank,42,0.1,0.559733,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s42_tk0.1_valid.log,0.540528,0.478531,0.65472,335340.94,2546.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s42_tk0.1_test.log
rerank,42,0.2,0.555851,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s42_tk0.2_valid.log,0.533577,0.470901,0.649397,563418.98,3572.94,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s42_tk0.2_test.log
rerank,123,0.01,0.546537,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s123_tk0.01_valid.log,0.546224,0.485983,0.643009,125416.79,394.84,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s123_tk0.01_test.log
rerank,123,0.05,0.566303,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s123_tk0.05_valid.log,0.548717,0.484564,0.662349,222528.52,1714.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s123_tk0.05_test.log
rerank,123,0.1,0.569108,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s123_tk0.1_valid.log,0.54622,0.480837,0.658623,333169.87,2546.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s123_tk0.1_test.log
rerank,123,0.2,0.56144,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s123_tk0.2_valid.log,0.536471,0.470369,0.65401,562106.93,3572.94,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s123_tk0.2_test.log
rerank,1234,0.01,0.532639,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s1234_tk0.01_valid.log,0.540094,0.484386,0.634315,121121.31,394.84,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s1234_tk0.01_test.log
rerank,1234,0.05,0.565496,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s1234_tk0.05_valid.log,0.549815,0.488999,0.653833,221102.23,1714.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s1234_tk0.05_test.log
rerank,1234,0.1,0.5764,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s1234_tk0.1_valid.log,0.547618,0.484918,0.653655,332114.23,2546.87,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s1234_tk0.1_test.log
rerank,1234,0.2,0.559586,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s1234_tk0.2_valid.log,0.545083,0.482612,0.652236,574001.47,3572.94,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/rerank_s1234_tk0.2_test.log
